estado,municipio,cp,asentamiento,tipo
"Ciudad de México","Álvaro Obregón",01000,"San Ángel",Colonia
"Ciudad de México","Álvaro Obregón",01010,"Los Alpes",Colonia
"Ciudad de México","Álvaro Obregón",01020,"Guadalupe Inn",Colonia
"Ciudad de México","Álvaro Obregón",01029,INFONAVIT,"Gran usuario"
"Ciudad de México","Álvaro Obregón",01030,Axotla,Pueblo
"Ciudad de México","Álvaro Obregón",01030,Florida,Colonia
"Ciudad de México","Álvaro Obregón",01040,Campestre,Colonia
"Ciudad de México","Álvaro Obregón",01048,"Las Águilas","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01049,Tlacopac,Pueblo
"Ciudad de México","Álvaro Obregón",01050,"Ex-Hacienda de Guadalupe Chimalistac",Colonia
"Ciudad de México","Álvaro Obregón",01060,Altavista,Colonia
"Ciudad de México","Álvaro Obregón",01060,"San Ángel Inn",Colonia
"Ciudad de México","Álvaro Obregón",01070,Chimalistac,Colonia
"Ciudad de México","Álvaro Obregón",01080,"Progreso Tizapan",Colonia
"Ciudad de México","Álvaro Obregón",01089,"Ermita Tizapan",Colonia
"Ciudad de México","Álvaro Obregón",01090,"La Otra Banda",Barrio
"Ciudad de México","Álvaro Obregón",01090,Loreto,Barrio
"Ciudad de México","Álvaro Obregón",01090,Tizapan,Pueblo
"Ciudad de México","Álvaro Obregón",01100,"Lomas de Santo Domingo","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01100,Pólvora,Colonia
"Ciudad de México","Álvaro Obregón",01109,"La Conchita",Colonia
"Ciudad de México","Álvaro Obregón",01110,"Ampliación El Capulín",Colonia
"Ciudad de México","Álvaro Obregón",01110,"Belém de las Flores",Colonia
"Ciudad de México","Álvaro Obregón",01110,"El Capulín",Colonia
"Ciudad de México","Álvaro Obregón",01110,"Liberales de 1857",Colonia
"Ciudad de México","Álvaro Obregón",01120,Acueducto,Colonia
"Ciudad de México","Álvaro Obregón",01120,Cove,Colonia
"Ciudad de México","Álvaro Obregón",01120,Hidalgo,Colonia
"Ciudad de México","Álvaro Obregón",01120,"Las Américas",Colonia
"Ciudad de México","Álvaro Obregón",01120,"Sears Roebuck","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01125,"Ampliación Acueducto",Colonia
"Ciudad de México","Álvaro Obregón",01130,"Molino de Santo Domingo",Colonia
"Ciudad de México","Álvaro Obregón",01130,"Molino de Santo Domingo","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01130,Paraíso,Colonia
"Ciudad de México","Álvaro Obregón",01130,"Real del Monte",Colonia
"Ciudad de México","Álvaro Obregón",01139,"Reacomodo Pino Suárez",Colonia
"Ciudad de México","Álvaro Obregón",01140,Bellavista,Colonia
"Ciudad de México","Álvaro Obregón",01140,"José Maria Pino Suárez",Colonia
"Ciudad de México","Álvaro Obregón",01150,"Cristo Rey",Colonia
"Ciudad de México","Álvaro Obregón",01150,Tolteca,Colonia
"Ciudad de México","Álvaro Obregón",01159,"Delegación Política Álvaro Obregón","Gran usuario"
"Ciudad de México","Álvaro Obregón",01160,"1a Victoria",Colonia
"Ciudad de México","Álvaro Obregón",01160,Bosque,Colonia
"Ciudad de México","Álvaro Obregón",01160,"Isidro Fabela",Colonia
"Ciudad de México","Álvaro Obregón",01160,"Maria G. de García Ruiz",Colonia
"Ciudad de México","Álvaro Obregón",01170,"Abraham M. González",Colonia
"Ciudad de México","Álvaro Obregón",01170,"Santa Fe IMSS","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01180,"8 de Agosto",Colonia
"Ciudad de México","Álvaro Obregón",01180,Carola,Colonia
"Ciudad de México","Álvaro Obregón",01180,"San Pedro de los Pinos",Colonia
"Ciudad de México","Álvaro Obregón",01184,"Nelli Campo Bello","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01200,"Arturo Martínez",Colonia
"Ciudad de México","Álvaro Obregón",01210,"Santa Fe",Pueblo
"Ciudad de México","Álvaro Obregón",01219,"Lomas de Santa Fe",Colonia
"Ciudad de México","Álvaro Obregón",01220,Bonanza,Colonia
"Ciudad de México","Álvaro Obregón",01220,Cuevitas,Colonia
"Ciudad de México","Álvaro Obregón",01220,"El Cuernito",Colonia
"Ciudad de México","Álvaro Obregón",01220,"La Estrella",Colonia
"Ciudad de México","Álvaro Obregón",01220,"Mártires de Tacubaya",Colonia
"Ciudad de México","Álvaro Obregón",01220,"Zenón Delgado",Colonia
"Ciudad de México","Álvaro Obregón",01230,"Campo de Tiro los Gamitos",Colonia
"Ciudad de México","Álvaro Obregón",01230,"El Piru 2a Ampliación",Colonia
"Ciudad de México","Álvaro Obregón",01230,"El Piru Santa Fe",Colonia
"Ciudad de México","Álvaro Obregón",01230,"Los Gamitos",Colonia
"Ciudad de México","Álvaro Obregón",01230,Tlapechico,Colonia
"Ciudad de México","Álvaro Obregón",01239,"La Huerta",Colonia
"Ciudad de México","Álvaro Obregón",01240,"Pueblo Nuevo",Colonia
"Ciudad de México","Álvaro Obregón",01250,"El Árbol",Colonia
"Ciudad de México","Álvaro Obregón",01250,Ladera,Colonia
"Ciudad de México","Álvaro Obregón",01250,"Lomas de Nuevo México",Colonia
"Ciudad de México","Álvaro Obregón",01250,"Margarita Maza de Juárez",Colonia
"Ciudad de México","Álvaro Obregón",01250,Tecolalco,Colonia
"Ciudad de México","Álvaro Obregón",01259,"Ampliación La Cebada",Colonia
"Ciudad de México","Álvaro Obregón",01259,"La Mexicana 2a Ampliación",Colonia
"Ciudad de México","Álvaro Obregón",01260,"Ampliación La Mexicana",Colonia
"Ciudad de México","Álvaro Obregón",01260,"Calzada Jalalpa",Colonia
"Ciudad de México","Álvaro Obregón",01260,"La Mexicana",Colonia
"Ciudad de México","Álvaro Obregón",01260,"La Palmita",Colonia
"Ciudad de México","Álvaro Obregón",01260,"Liberación Proletaria",Colonia
"Ciudad de México","Álvaro Obregón",01269,"1a Sección Cañada",Colonia
"Ciudad de México","Álvaro Obregón",01269,"2a Sección Cañada",Colonia
"Ciudad de México","Álvaro Obregón",01270,"El Tejocote",Colonia
"Ciudad de México","Álvaro Obregón",01270,Golondrinas,Colonia
"Ciudad de México","Álvaro Obregón",01270,"Golondrinas 1a Sección",Colonia
"Ciudad de México","Álvaro Obregón",01270,"Golondrinas 2a Sección",Colonia
"Ciudad de México","Álvaro Obregón",01270,"La Presa",Colonia
"Ciudad de México","Álvaro Obregón",01270,"Lomas de Capula",Colonia
"Ciudad de México","Álvaro Obregón",01275,"Villa Solidaridad",Colonia
"Ciudad de México","Álvaro Obregón",01276,"El Pirul",Colonia
"Ciudad de México","Álvaro Obregón",01278,"Desarrollo Urbano",Colonia
"Ciudad de México","Álvaro Obregón",01279,"Lomas de Becerra",Colonia
"Ciudad de México","Álvaro Obregón",01280,Arvide,Colonia
"Ciudad de México","Álvaro Obregón",01280,"El Pocito",Colonia
"Ciudad de México","Álvaro Obregón",01280,"Francisco Villa",Colonia
"Ciudad de México","Álvaro Obregón",01280,"La Joya",Colonia
"Ciudad de México","Álvaro Obregón",01280,"Lomas de Becerra","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01285,"El Rodeo",Colonia
"Ciudad de México","Álvaro Obregón",01289,"Reacomodo El Cuernito",Colonia
"Ciudad de México","Álvaro Obregón",01290,"Piloto Adolfo López Mateos",Colonia
"Ciudad de México","Álvaro Obregón",01290,Presidentes,Colonia
"Ciudad de México","Álvaro Obregón",01296,"Ampliación Jalalpa",Colonia
"Ciudad de México","Álvaro Obregón",01296,"Jalalpa Tepito",Colonia
"Ciudad de México","Álvaro Obregón",01296,"Jalalpa Tepito 2a Ampliación",Colonia
"Ciudad de México","Álvaro Obregón",01298,"Ampliación Piloto Adolfo López Mateos",Colonia
"Ciudad de México","Álvaro Obregón",01299,"1a Ampliación Presidentes",Colonia
"Ciudad de México","Álvaro Obregón",01299,"2a Ampliación Presidentes",Colonia
"Ciudad de México","Álvaro Obregón",01310,"San Gabriel",Colonia
"Ciudad de México","Álvaro Obregón",01320,"Carlos A. Madrazo",Colonia
"Ciudad de México","Álvaro Obregón",01330,"Paseo de las Lomas",Colonia
"Ciudad de México","Álvaro Obregón",01340,"Bejero del Pueblo Santa Fe",Colonia
"Ciudad de México","Álvaro Obregón",01376,"Santa Fe",Colonia
"Ciudad de México","Álvaro Obregón",01376,"Santa Fe Centro Ciudad",Colonia
"Ciudad de México","Álvaro Obregón",01376,"Santa Fe La Loma",Colonia
"Ciudad de México","Álvaro Obregón",01376,"Santa Fe Peña Blanca",Colonia
"Ciudad de México","Álvaro Obregón",01377,"Jalalpa El Grande",Colonia
"Ciudad de México","Álvaro Obregón",01379,"Antonio Carrillo Flores","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01389,"Santa Fe Tlayapaca",Colonia
"Ciudad de México","Álvaro Obregón",01400,"Olivar del Conde 1a Sección",Colonia
"Ciudad de México","Álvaro Obregón",01400,Preconcreto,Colonia
"Ciudad de México","Álvaro Obregón",01407,Galeana,Colonia
"Ciudad de México","Álvaro Obregón",01408,"Olivar del Conde 2a Sección",Colonia
"Ciudad de México","Álvaro Obregón",01410,"Barrio Norte",Colonia
"Ciudad de México","Álvaro Obregón",01410,Palmas,Colonia
"Ciudad de México","Álvaro Obregón",01419,"Minas Cristo Rey",Colonia
"Ciudad de México","Álvaro Obregón",01420,Sacramento,Colonia
"Ciudad de México","Álvaro Obregón",01420,"Santa María Nonoalco",Barrio
"Ciudad de México","Álvaro Obregón",01430,"Colina del Sur",Colonia
"Ciudad de México","Álvaro Obregón",01440,Abeto,Condominio
"Ciudad de México","Álvaro Obregón",01450,"Batallón de San Patricio","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01450,"Cañada del Olivar","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01450,"Hogar y Redención",Colonia
"Ciudad de México","Álvaro Obregón",01450,"Unidad Popular Emiliano Zapata","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01460,"Alfonso XIII",Colonia
"Ciudad de México","Álvaro Obregón",01470,Alfalfar,Barrio
"Ciudad de México","Álvaro Obregón",01470,"Molino de Rosas",Colonia
"Ciudad de México","Álvaro Obregón",01480,"Lomas de Plateros",Colonia
"Ciudad de México","Álvaro Obregón",01490,"La Cascada",Colonia
"Ciudad de México","Álvaro Obregón",01490,"Torres de Mixcoac","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01500,"Miguel Gaona Armenta",Colonia
"Ciudad de México","Álvaro Obregón",01500,"Santa Lucía",Pueblo
"Ciudad de México","Álvaro Obregón",01509,"Santa Lucía Chantepec",Pueblo
"Ciudad de México","Álvaro Obregón",01510,Garcimarrero,Colonia
"Ciudad de México","Álvaro Obregón",01510,"La Araña",Colonia
"Ciudad de México","Álvaro Obregón",01510,"Los Cedros",Colonia
"Ciudad de México","Álvaro Obregón",01520,"Ampliación Estado de Hidalgo",Colonia
"Ciudad de México","Álvaro Obregón",01520,"Ampliación Los Pirules",Colonia
"Ciudad de México","Álvaro Obregón",01520,"El Politoco",Colonia
"Ciudad de México","Álvaro Obregón",01520,"Estado de Hidalgo",Colonia
"Ciudad de México","Álvaro Obregón",01520,"Piru Santa Lucía",Colonia
"Ciudad de México","Álvaro Obregón",01530,"Corpus Christy",Colonia
"Ciudad de México","Álvaro Obregón",01537,Universal,"Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01538,Tepopotla,Colonia
"Ciudad de México","Álvaro Obregón",01539,Acuilotla,Colonia
"Ciudad de México","Álvaro Obregón",01539,"Cooperativa Unión Olivos",Colonia
"Ciudad de México","Álvaro Obregón",01540,"Balcones de Cehuayo",Colonia
"Ciudad de México","Álvaro Obregón",01540,Cehuaya,Colonia
"Ciudad de México","Álvaro Obregón",01540,"Llano Redondo",Colonia
"Ciudad de México","Álvaro Obregón",01540,Providencia,Fraccionamiento
"Ciudad de México","Álvaro Obregón",01540,"Punta de Cehuaya",Colonia
"Ciudad de México","Álvaro Obregón",01548,"Villa Progresista",Colonia
"Ciudad de México","Álvaro Obregón",01549,"Dos Ríos del Pueblo Santa Lucía",Colonia
"Ciudad de México","Álvaro Obregón",01550,"Ampliación Tepeaca",Colonia
"Ciudad de México","Álvaro Obregón",01550,"Rinconada Las Cuevitas",Colonia
"Ciudad de México","Álvaro Obregón",01550,Tepeaca,Colonia
"Ciudad de México","Álvaro Obregón",01560,"Ave Real",Colonia
"Ciudad de México","Álvaro Obregón",01560,Canutillo,Colonia
"Ciudad de México","Álvaro Obregón",01560,"Canutillo 2a Sección",Colonia
"Ciudad de México","Álvaro Obregón",01560,"Canutillo 3a Sección",Colonia
"Ciudad de México","Álvaro Obregón",01566,Hueytlale,Colonia
"Ciudad de México","Álvaro Obregón",01567,Tepeaca,"Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01569,"Reacomodo Valentín Gómez Farías",Colonia
"Ciudad de México","Álvaro Obregón",01580,"Bosques de Tarango",Fraccionamiento
"Ciudad de México","Álvaro Obregón",01580,"Rancho Casa Blanca",Fraccionamiento
"Ciudad de México","Álvaro Obregón",01585,"Las Haciendas",Fraccionamiento
"Ciudad de México","Álvaro Obregón",01586,"Real de Tarango",Fraccionamiento
"Ciudad de México","Álvaro Obregón",01587,"Misiones de Tarango",Fraccionamiento
"Ciudad de México","Álvaro Obregón",01588,Tarango,Colonia
"Ciudad de México","Álvaro Obregón",01589,"Lomas de Tarango Reacomodo",Fraccionamiento
"Ciudad de México","Álvaro Obregón",01590,"El Rincón",Colonia
"Ciudad de México","Álvaro Obregón",01600,"Merced Gómez",Colonia
"Ciudad de México","Álvaro Obregón",01600,"Sociedad Cooperativa Unión Poder Popular",Fraccionamiento
"Ciudad de México","Álvaro Obregón",01610,"Colinas de Tarango",Colonia
"Ciudad de México","Álvaro Obregón",01610,"Profesor J. Arturo López Martínez",Colonia
"Ciudad de México","Álvaro Obregón",01618,"Arcos Centenario",Colonia
"Ciudad de México","Álvaro Obregón",01618,"Ex-Hacienda de Tarango",Colonia
"Ciudad de México","Álvaro Obregón",01619,"La Martinica",Colonia
"Ciudad de México","Álvaro Obregón",01619,"Rinconada de Tarango",Colonia
"Ciudad de México","Álvaro Obregón",01620,"Lomas de Tarango",Colonia
"Ciudad de México","Álvaro Obregón",01630,"Belém de las Flores","Unidad habitacional"
"Ciudad de México","Álvaro Obregón",01630,"Lomas de Puerta Grande",Colonia
"Ciudad de México","Álvaro Obregón",01630,"Los Juristas",Colonia
"Ciudad de México","Álvaro Obregón",01630,"Puerta Grande",Colonia
"Ciudad de México","Álvaro Obregón",01640,"Herón Proal",Colonia
"Ciudad de México","Álvaro Obregón",01645,"Ponciano Arriaga",Colonia
"Ciudad de México","Álvaro Obregón",01650,"2o Reacomodo Tlacuitlapa",Colonia
"Ciudad de México","Álvaro Obregón",01650,"Ampliación Tlacuitlapa",Colonia
"Ciudad de México","Álvaro Obregón",01650,"El Ruedo",Colonia
"Ciudad de México","Álvaro Obregón",01650,"La Milagrosa",Colonia
"Ciudad de México","Álvaro Obregón",01650,"Palmas Axotitla",Colonia
"Ciudad de México","Álvaro Obregón",01650,"Santa Lucía Chantepec",Colonia
"Ciudad de México","Álvaro Obregón",01650,Tlacuitlapa,Colonia
"Ciudad de México","Álvaro Obregón",01700,"2a Del Moral del Pueblo de Tetelpan",Colonia
"Ciudad de México","Álvaro Obregón",01700,"La Joyita del Pueblo Tetelpan",Colonia
"Ciudad de México","Álvaro Obregón",01700,"Ocotillos del Pueblo Tetelpan",Colonia
"Ciudad de México","Álvaro Obregón",01700,"San Agustín del Pueblo Tetelpan",Colonia
"Ciudad de México","Álvaro Obregón",01700,"Tecalcapa del Pueblo Tetelpan",Colonia
"Ciudad de México","Álvaro Obregón",01700,Tetelpan,Pueblo
"Ciudad de México","Álvaro Obregón",01708,"El Encino del Pueblo Tetelpan",Colonia
"Ciudad de México","Álvaro Obregón",01708,"El Mirador del Pueblo Tetelpan",Colonia
"Ciudad de México","Álvaro Obregón",01710,"Ampliación Alpes",Colonia
"Ciudad de México","Álvaro Obregón",01710,"Las Águilas",Colonia
"Ciudad de México","Álvaro Obregón",01720,"Lomas de Guadalupe",Colonia
"Ciudad de México","Álvaro Obregón",01729,Alcantarilla,Colonia
"Ciudad de México","Álvaro Obregón",01730,"Lomas de las Águilas",Colonia
"Ciudad de México","Álvaro Obregón",01730,"Puente Colorado",Colonia
"Ciudad de México","Álvaro Obregón",01740,"La Peñita del Pueblo Tetelpan",Colonia
"Ciudad de México","Álvaro Obregón",01740,"San Clemente Norte",Colonia
"Ciudad de México","Álvaro Obregón",01740,"San Clemente Sur",Colonia
"Ciudad de México","Álvaro Obregón",01750,"Las Águilas 1a Sección",Colonia
"Ciudad de México","Álvaro Obregón",01750,"Las Águilas 2o Parque",Colonia
"Ciudad de México","Álvaro Obregón",01750,"Las Águilas 3er Parque",Colonia
"Ciudad de México","Álvaro Obregón",01759,"Ampliación Las Águilas",Colonia
"Ciudad de México","Álvaro Obregón",01760,Atlamaya,Colonia
"Ciudad de México","Álvaro Obregón",01760,"Flor de María",Colonia
"Ciudad de México","Álvaro Obregón",01760,"La Herradura del Pueblo Tetelpan",Colonia
"Ciudad de México","Álvaro Obregón",01770,"La Angostura",Colonia
"Ciudad de México","Álvaro Obregón",01770,"San José del Olivar",Colonia
"Ciudad de México","Álvaro Obregón",01780,"Olivar de los Padres",Colonia
"Ciudad de México","Álvaro Obregón",01780,"Tizampampano del Pueblo Tetelpan",Colonia
"Ciudad de México","Álvaro Obregón",01788,"El Olivarito","Conjunto habitaciona"
"Ciudad de México","Álvaro Obregón",01789,"Miguel Hidalgo",Colonia
"Ciudad de México","Álvaro Obregón",01790,"Lomas de los Ángeles del Pueblo Tetelpan",Colonia
"Ciudad de México","Álvaro Obregón",01790,"Lomas de San Ángel Inn",Colonia
"Ciudad de México","Álvaro Obregón",01800,"San Bartolo Ameyalco",Pueblo
"Ciudad de México","Álvaro Obregón",01807,"Rancho San Francisco Pueblo San Bartolo Ameyalco",Colonia
"Ciudad de México","Álvaro Obregón",01810,"Villa Verdún",Colonia
"Ciudad de México","Álvaro Obregón",01820,"Ejido San Mateo",Colonia
"Ciudad de México","Álvaro Obregón",01820,"Lomas Axomiatla",Colonia
"Ciudad de México","Álvaro Obregón",01830,"Santa Rosa Xochiac",Pueblo
"Ciudad de México","Álvaro Obregón",01840,"Torres de Potrero",Colonia
"Ciudad de México","Álvaro Obregón",01849,"Rancho del Carmen del Pueblo San Bartolo Ameyalco",Colonia
"Ciudad de México","Álvaro Obregón",01849,"Rincón de la Bolsa",Colonia
"Ciudad de México","Álvaro Obregón",01856,"Paraje del Caballito",Campamento
"Ciudad de México","Álvaro Obregón",01857,"Lomas de Chamontoya",Colonia
"Ciudad de México","Álvaro Obregón",01859,Tlacoyaque,Colonia
"Ciudad de México","Álvaro Obregón",01860,"Lomas de La Era",Colonia
"Ciudad de México","Álvaro Obregón",01863,"Lomas del Capulín",Campamento
"Ciudad de México","Álvaro Obregón",01870,"Lomas de los Cedros",Colonia
"Ciudad de México","Álvaro Obregón",01900,"Jardines del Pedregal",Colonia
"Ciudad de México","Álvaro Obregón",01904,"San Jerónimo Aculco",Colonia
"Ciudad de México","Álvaro Obregón",01940,"Rancho Anzaldo y Contreras",Fraccionamiento
"Ciudad de México","Álvaro Obregón",01990,Pedregal,Fraccionamiento
"Ciudad de México",Azcapotzalco,02000,"Centro de Azcapotzalco",Colonia
"Ciudad de México",Azcapotzalco,02008,"Delegación Política Azcapotzalco","Gran usuario"
"Ciudad de México",Azcapotzalco,02010,"Los Reyes",Barrio
"Ciudad de México",Azcapotzalco,02010,"Nuevo Barrio San Rafael",Barrio
"Ciudad de México",Azcapotzalco,02010,"San Rafael",Colonia
"Ciudad de México",Azcapotzalco,02020,"San Marcos",Barrio
"Ciudad de México",Azcapotzalco,02020,"Santo Tomás",Colonia
"Ciudad de México",Azcapotzalco,02040,"Del Maestro",Colonia
"Ciudad de México",Azcapotzalco,02040,"San Sebastián",Colonia
"Ciudad de México",Azcapotzalco,02050,Libertad,Colonia
"Ciudad de México",Azcapotzalco,02050,"Santa María Malinalco",Pueblo
"Ciudad de México",Azcapotzalco,02050,Wake,"Unidad habitacional"
"Ciudad de México",Azcapotzalco,02060,"Sindicato Mexicano de Electricistas",Colonia
"Ciudad de México",Azcapotzalco,02060,"Un Hogar Para Cada Trabajador",Colonia
"Ciudad de México",Azcapotzalco,02070,Azcapotzalco,"Unidad habitacional"
"Ciudad de México",Azcapotzalco,02070,"Del Recreo",Colonia
"Ciudad de México",Azcapotzalco,02070,Nextengo,Barrio
"Ciudad de México",Azcapotzalco,02070,Nextengo,"Unidad habitacional"
"Ciudad de México",Azcapotzalco,02070,Palestina,"Unidad habitacional"
"Ciudad de México",Azcapotzalco,02080,Clavería,Colonia
"Ciudad de México",Azcapotzalco,02080,"Sector Naval",Colonia
"Ciudad de México",Azcapotzalco,02090,"San Álvaro",Colonia
"Ciudad de México",Azcapotzalco,02099,"Ángel Zimbrón",Colonia
"Ciudad de México",Azcapotzalco,02100,"El Rosario",Colonia
"Ciudad de México",Azcapotzalco,02100,"Los Oyameles","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02109,"CROC 6 Olimpia","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02109,"Manuel Rivera Anaya CROC 1","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02110,"Ecológica Novedades Impacto","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02110,"San Pablo Xalpa","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02120,"San Martín Xochinahuac",Pueblo
"Ciudad de México",Azcapotzalco,02125,"San Martín Xochinahuac","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02128,"Nueva El Rosario",Colonia
"Ciudad de México",Azcapotzalco,02129,"Nueva España",Colonia
"Ciudad de México",Azcapotzalco,02130,"Tierra Nueva",Colonia
"Ciudad de México",Azcapotzalco,02140,"Santa Inés",Colonia
"Ciudad de México",Azcapotzalco,02150,"Azcapotzalco Pasteros","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02150,Pasteros,Colonia
"Ciudad de México",Azcapotzalco,02160,"Santo Domingo",Pueblo
"Ciudad de México",Azcapotzalco,02169,"Villas de Azcapotzalco","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02200,"Reynosa Tamaulipas",Colonia
"Ciudad de México",Azcapotzalco,02230,"Santa Bárbara",Pueblo
"Ciudad de México",Azcapotzalco,02240,"San Andrés",Barrio
"Ciudad de México",Azcapotzalco,02240,"San Andrés",Pueblo
"Ciudad de México",Azcapotzalco,02240,"San Andrés Fase II","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02240,Ticoman,"Unidad habitacional"
"Ciudad de México",Azcapotzalco,02250,"Santa Catarina",Pueblo
"Ciudad de México",Azcapotzalco,02260,Pitolaca,"Unidad habitacional"
"Ciudad de México",Azcapotzalco,02300,"Industrial Vallejo",Colonia
"Ciudad de México",Azcapotzalco,02310,Ferrería,Colonia
"Ciudad de México",Azcapotzalco,02320,"San Andrés de las Salinas",Pueblo
"Ciudad de México",Azcapotzalco,02330,"Huautla de las Salinas",Barrio
"Ciudad de México",Azcapotzalco,02340,"Santa Cruz de las Salinas",Colonia
"Ciudad de México",Azcapotzalco,02350,"Jardines de Ceylán","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02360,"Las Salinas",Colonia
"Ciudad de México",Azcapotzalco,02400,"Rinconada el Olivar","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02400,"San Juan Tlihuaca",Pueblo
"Ciudad de México",Azcapotzalco,02400,"San Juan Tlihuaca","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02409,"Rosendo Salazar","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02410,"Prados del Rosario",Colonia
"Ciudad de México",Azcapotzalco,02419,"Trabajadores de PEMEX","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02420,"Ex-Hacienda El Rosario",Colonia
"Ciudad de México",Azcapotzalco,02420,"Francisco Villa","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02430,"Presidente Madero","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02440,Providencia,Colonia
"Ciudad de México",Azcapotzalco,02450,"Las Trancas","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02450,"Miguel Hidalgo","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02459,Tezozomoc,Colonia
"Ciudad de México",Azcapotzalco,02460,Axolahua,"Unidad habitacional"
"Ciudad de México",Azcapotzalco,02460,"La Preciosa",Colonia
"Ciudad de México",Azcapotzalco,02470,"Ampliación Petrolera",Colonia
"Ciudad de México",Azcapotzalco,02479,"Lázaro Cárdenas","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02480,Petrolera,Colonia
"Ciudad de México",Azcapotzalco,02490,Kervin,"Unidad habitacional"
"Ciudad de México",Azcapotzalco,02490,"San Mateo",Barrio
"Ciudad de México",Azcapotzalco,02500,"Unidad Cuitlahuac",Colonia
"Ciudad de México",Azcapotzalco,02510,"El Jagüey","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02510,Pantaco,"Unidad habitacional"
"Ciudad de México",Azcapotzalco,02519,"El Jagüey",Colonia
"Ciudad de México",Azcapotzalco,02520,"Estación Pantaco",Equipamiento
"Ciudad de México",Azcapotzalco,02525,"Granjas Pantaco Campamento Ferrocarrilero","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02530,"Jardín Azpeitia",Colonia
"Ciudad de México",Azcapotzalco,02540,"Hogares Ferrocarrileros","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02600,Pro-Hogar,Colonia
"Ciudad de México",Azcapotzalco,02630,Coltongo,Barrio
"Ciudad de México",Azcapotzalco,02630,Coltongo,Colonia
"Ciudad de México",Azcapotzalco,02640,"Monte Alto",Colonia
"Ciudad de México",Azcapotzalco,02650,"Trabajadores de Hierro",Colonia
"Ciudad de México",Azcapotzalco,02660,Euzkadi,Colonia
"Ciudad de México",Azcapotzalco,02670,Cosmopolita,Colonia
"Ciudad de México",Azcapotzalco,02680,"Potrero del Llano",Colonia
"Ciudad de México",Azcapotzalco,02700,"San Miguel Amantla",Pueblo
"Ciudad de México",Azcapotzalco,02710,"San Isidro","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02710,"San Pedro Xalpa",Pueblo
"Ciudad de México",Azcapotzalco,02718,"Las Armas","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02719,"Ampliación San Pedro Xalpa",Colonia
"Ciudad de México",Azcapotzalco,02720,"San Antonio",Colonia
"Ciudad de México",Azcapotzalco,02720,"San Bartolo Cahualtongo",Pueblo
"Ciudad de México",Azcapotzalco,02729,"Campo Encantado","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02730,"San Francisco Tetecala",Pueblo
"Ciudad de México",Azcapotzalco,02739,"Miguel Lerdo de Tejada","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02750,"La Escuadra","Unidad habitacional"
"Ciudad de México",Azcapotzalco,02750,"La Providencia",Fraccionamiento
"Ciudad de México",Azcapotzalco,02750,"Santiago Ahuizotla",Pueblo
"Ciudad de México",Azcapotzalco,02760,"Industrial San Antonio",Colonia
"Ciudad de México",Azcapotzalco,02760,"Santa Lucía",Barrio
"Ciudad de México",Azcapotzalco,02770,"Santa Cruz Acayucan",Pueblo
"Ciudad de México",Azcapotzalco,02780,Plenitud,Colonia
"Ciudad de México",Azcapotzalco,02790,"Santa Apolonia",Barrio
"Ciudad de México",Azcapotzalco,02800,"Nueva Santa María",Colonia
"Ciudad de México",Azcapotzalco,02810,"Ignacio Allende",Colonia
"Ciudad de México",Azcapotzalco,02810,"Victoria de las Democracias",Colonia
